osm_id,osm_type,city_key,lat,lon,material_raw_tag,material
291750012,way,lille,50.63051275300956,3.066790615451928,slate,ardoise
1137651149,way,lille,50.67096385842705,3.055739943915749,slate,ardoise
40875543,way,lille,50.63170140406487,3.0628443143814468,slate,ardoise
80329994,way,lille,50.60441923850409,3.1321072949254654,slate,ardoise
40875549,way,lille,50.63187886496072,3.0627231407191573,slate,ardoise
1137651150,way,lille,50.67136071914875,3.055676499342959,slate,ardoise
42736815,way,lille,50.630126017967946,3.0528175221367926,slate,ardoise
42736615,way,lille,50.6305150395795,3.047959758737849,slate,ardoise
11372002,way,lille,50.62940453684297,3.0681546980219325,slate,ardoise
80329822,way,lille,50.60277878881264,3.1326676548417005,slate,ardoise
80329872,way,lille,50.60316431440073,3.133752917134162,slate,ardoise
42423653,way,lille,50.637144807927626,3.0539518616597623,slate,ardoise
80329962,way,lille,50.60239167346632,3.135001752251662,slate,ardoise
42736616,way,lille,50.63060185701376,3.047860380715903,slate,ardoise
80329893,way,lille,50.602186307680384,3.135548698247017,slate,ardoise
80329775,way,lille,50.60229587634768,3.136161585574237,slate,ardoise
40875547,way,lille,50.63180646130227,3.0628496274706896,slate,ardoise
42736816,way,lille,50.62984055125596,3.052496751258403,slate,ardoise
80329952,way,lille,50.60397628236692,3.1316507969955327,slate,ardoise
41503513,way,lille,50.63482036956173,3.04955865453191,slate,ardoise
40875555,way,lille,50.63163238989089,3.062756258307352,slate,ardoise
80329800,way,lille,50.6025115197362,3.132840416826977,slate,ardoise
40875548,way,lille,50.63184236267389,3.0627865972747306,slate,ardoise
80330010,way,lille,50.60355569436208,3.1341918582488484,slate,ardoise
80329924,way,lille,50.602110672620405,3.1328449734701183,slate,ardoise
45898688,way,lille,50.6327750892461,3.0634351377189657,slate,ardoise
557761147,way,lille,50.60167020528127,3.134266002584669,slate,ardoise
1038737514,way,lille,50.671687000243175,3.058035249909492,slate,ardoise
1038737513,way,lille,50.67176951779215,3.058601719087576,slate,ardoise
80330029,way,lille,50.603045199509495,3.1349375949266727,slate,ardoise
80329857,way,lille,50.601862145268406,3.13400575880504,slate,ardoise
80329986,way,lille,50.60170022507632,3.1345743730645714,slate,ardoise
1137651151,way,lille,50.67063108736864,3.0554315743556946,slate,ardoise
42736663,way,lille,50.63044006677277,3.0476104930614696,slate,ardoise
80329784,way,lille,50.60341250096239,3.132346024018396,slate,ardoise
80329780,way,lille,50.60132096878294,3.13605242899443,slate,ardoise
80329769,way,lille,50.60369735017873,3.132795705775336,slate,ardoise
80330006,way,lille,50.60176226427287,3.135225544149565,slate,ardoise
42423659,way,lille,50.637971476100006,3.0527265016608003,slate,ardoise
80329862,way,lille,50.60162097014288,3.135519950514124,slate,ardoise
1137651148,way,lille,50.67208750094098,3.057042953871658,slate,ardoise
80330004,way,lille,50.60200337595237,3.133460709365984,slate,ardoise
80329931,way,lille,50.602961404321945,3.134152930470402,slate,ardoise
80329807,way,lille,50.60236975762055,3.133184744217814,slate,ardoise
80329979,way,lille,50.60402919398473,3.1332832229552983,slate,ardoise
80330025,way,lille,50.60310372890996,3.1330830213612497,slate,ardoise
40875544,way,lille,50.63166728760199,3.0627981806508493,slate,ardoise
46650726,way,lille,50.63821181641106,3.07170035539054,slate,ardoise
40875546,way,lille,50.63175746783442,3.062929278831742,slate,ardoise
283802323,way,lille,50.60155456927585,3.136294205994793,slate,ardoise
80329944,way,lille,50.60336149287237,3.131704032324905,slate,ardoise
80329894,way,lille,50.604202080614016,3.1310126217886274,slate,ardoise
80330040,way,lille,50.602690557821525,3.133657500661849,slate,ardoise
80329764,way,lille,50.60274451302958,3.1345763073364323,slate,ardoise
291750013,way,lille,50.63016448095192,3.067376151082017,slate,ardoise
42423654,way,lille,50.63779950719071,3.052511091923294,slate,ardoise
80329758,way,lille,50.60298379645764,3.132085924430913,slate,ardoise
42736845,way,lille,50.630542296250255,3.053406724960145,slate,ardoise
745460696,way,lille,50.60202349399235,3.136511004370066,slate,ardoise
80329937,way,lille,50.60502677972432,3.1312528692028443,slate,ardoise
45898690,way,lille,50.63266615754466,3.0635644245195803,slate,ardoise
1137651147,way,lille,50.67197485621436,3.0562744708851506,slate,ardoise
41235319,way,lille,50.63042030020275,3.075415597268778,slate,ardoise
80329975,way,lille,50.60263506296671,3.135446595137608,slate,ardoise
42736617,way,lille,50.63062956857032,3.047981159671392,slate,ardoise
80330030,way,lille,50.60455971212483,3.1313622640388705,slate,ardoise
339565453,way,lyon,45.7503437548264,4.837414741860141,slate,ardoise
48119445,way,lyon,45.75042172704523,4.8379465635400285,slate,ardoise
75247121,way,montpellier,43.61148045753117,3.8840417159653344,slate,ardoise
83940513,way,nantes,47.22275625476792,-1.5370415209366528,slate,ardoise
83940599,way,nantes,47.22639010497651,-1.5407833029751996,slate,ardoise
83868611,way,nantes,47.226900512787175,-1.5419779129030229,slate,ardoise
41902073,way,nantes,47.21381057264272,-1.5536004879105945,slate,ardoise
1334838793,way,nantes,47.214200800894126,-1.5483964126793837,slate,ardoise
82975613,way,nantes,47.24486821711853,-1.540103999393987,slate,ardoise
82976291,way,nantes,47.24421269686589,-1.5332683702230807,slate,ardoise
83942099,way,nantes,47.22108039724765,-1.5376095003973451,slate,ardoise
45186802,way,nantes,47.222515724336056,-1.536099439948735,slate,ardoise
82975990,way,nantes,47.24511790224747,-1.53205019974429,slate,ardoise
82637520,way,nantes,47.24041903061941,-1.525270560628092,slate,ardoise
82636320,way,nantes,47.240571007713314,-1.528460149875955,slate,ardoise
82975580,way,nantes,47.24383788540163,-1.5413279287415134,slate,ardoise
82975027,way,nantes,47.24403977284268,-1.532459903730065,slate,ardoise
85440714,way,nantes,47.21389056483472,-1.5481935619433551,slate,ardoise
83941824,way,nantes,47.22267150942941,-1.5408764612996977,slate,ardoise
83941832,way,nantes,47.22100300118824,-1.5382127824890557,slate,ardoise
83940801,way,nantes,47.22663432008855,-1.5415987969043825,slate,ardoise
429920052,way,nantes,47.21485083420128,-1.540150397651712,slate,ardoise
82972178,way,nantes,47.24355317863434,-1.5326090913669144,slate,ardoise
83941912,way,nantes,47.22104156555039,-1.537379068811473,slate,ardoise
83940680,way,nantes,47.22345180783231,-1.5377461611122358,slate,ardoise
96755749,way,nantes,47.20266923670357,-1.601533962534818,slate,ardoise
85440585,way,nantes,47.21114594043733,-1.5567548326049614,slate,ardoise
129166353,way,nantes,47.30922851713282,-1.4666291281467048,slate,ardoise
83940899,way,nantes,47.22119651967923,-1.5383665660727346,slate,ardoise
83940962,way,nantes,47.21993641355066,-1.5353341505517897,slate,ardoise
1273601,way,nantes,47.21967053774714,-1.5341428385072764,slate,ardoise
82638538,way,nantes,47.24072826440439,-1.5263250302708726,slate,ardoise
82974583,way,nantes,47.24365568484889,-1.5311408754203393,slate,ardoise
314726506,way,nantes,47.236289897172725,-1.5435850184854352,slate,ardoise
82976567,way,nantes,47.24603569955584,-1.532224749467728,slate,ardoise
83941831,way,nantes,47.22081551801412,-1.5351382078867646,slate,ardoise
82975045,way,nantes,47.24524399999999,-1.5423145,slate,ardoise
45186798,way,nantes,47.22228705440394,-1.5359366313909657,slate,ardoise
82971828,way,nantes,47.24418655324754,-1.5319597440985262,slate,ardoise
60517264,way,nantes,47.20556816399846,-1.5310323041139169,slate,ardoise
85440908,way,nantes,47.21880120463702,-1.5397172762419908,slate,ardoise
82975719,way,nantes,47.2465980758476,-1.5301970037465706,slate,ardoise
82976337,way,nantes,47.2436249652916,-1.5388947490942884,slate,ardoise
85439503,way,nantes,47.21614647880034,-1.5577158027696965,slate,ardoise
96755487,way,nantes,47.20222323118759,-1.6011925066479538,slate,ardoise
83940417,way,nantes,47.21993872454333,-1.533919142856318,slate,ardoise
82971624,way,nantes,47.24406520510285,-1.5408840506188426,slate,ardoise
41902066,way,nantes,47.21355491359781,-1.554048571912531,slate,ardoise
82975843,way,nantes,47.24340498922201,-1.5420709315183283,slate,ardoise
44635888,way,nantes,47.21339501607599,-1.545161377426841,slate,ardoise
85439051,way,nantes,47.21516307360648,-1.5411138080450295,slate,ardoise
41902076,way,nantes,47.21383818629443,-1.5533500776789675,slate,ardoise
82974648,way,nantes,47.24459118280972,-1.53228668673962,slate,ardoise
82974708,way,nantes,47.2455487970031,-1.5306349054101025,slate,ardoise
85440038,way,nantes,47.2143070246788,-1.547837656440497,slate,ardoise
611700253,way,nantes,47.21347148163736,-1.5458397909736843,slate,ardoise
82975166,way,nantes,47.24417486920623,-1.5415954277213093,slate,ardoise
85441179,way,nantes,47.21087519539456,-1.5442633894478242,slate,ardoise
82971421,way,nantes,47.24399968960556,-1.539917704862298,slate,ardoise
82971925,way,nantes,47.244457208652285,-1.5420301194737236,slate,ardoise
82973430,way,nantes,47.24614311638163,-1.5321767905130623,slate,ardoise
83940723,way,nantes,47.22073321995936,-1.537667467101942,slate,ardoise
82973150,way,nantes,47.2438567,-1.53204975,slate,ardoise
83942226,way,nantes,47.22165256992615,-1.534783720347895,slate,ardoise
84136515,way,nantes,47.22899940256856,-1.5542012873726028,slate,ardoise
85439004,way,nantes,47.21289240624078,-1.5468208631388498,slate,ardoise
85439466,way,nantes,47.21302510396802,-1.546733237198529,slate,ardoise
83941737,way,nantes,47.22488205495168,-1.539651209424884,slate,ardoise
85441585,way,nantes,47.21436390698877,-1.556023287934352,slate,ardoise
82972545,way,nantes,47.24538160077212,-1.530269798734791,slate,ardoise
85530908,way,nantes,47.22681756335056,-1.571546272736235,slate,ardoise
1482046249,way,nantes,47.219524862585615,-1.5351639756123563,slate,ardoise
82973171,way,nantes,47.24479005,-1.54266935,slate,ardoise
96755492,way,nantes,47.20129820433292,-1.6013297416577872,slate,ardoise
83940158,way,nantes,47.22034308538234,-1.5319495049984837,slate,ardoise
129167552,way,nantes,47.30957110320016,-1.4671351792447516,slate,ardoise
1445202684,way,nantes,47.20928776774167,-1.548162766547846,slate,ardoise
